location,total_sqft,bath,price,bhk
"DDA Flats Vasant Kunj, Vasant Kunj",11562.5,2,185,3
other,14687.5,3,235,4
Vasant Kunj,13333.33333,1,80,1
other,14375,2,230,3
"DDA Flats Vasant Kunj, Vasant Kunj",15500,3,310,3
"DDA Flats Sector E Pocket 1, Vasant Kunj",11384.61538,2,74,1
Vasant Kunj,14090.90909,2,155,2
"DDA Flats Sector E Pocket 1, Vasant Kunj",11162.7907,2,120,2
other,16206.89655,2,235,3
other,20833.33333,2,250,3
other,11666.66667,2,70,1
"DDA Flats Vasant Kunj, Vasant Kunj",17500,2,175,2
other,15625,2,250,3
Vasant Kunj Sector C,16571.42857,4,290,4
"DDA Flats Sector E Pocket 1, Vasant Kunj",16846.15385,3,219,3
other,13636.36364,2,75,1
other,10681.81818,3,235,4
Vasant Kunj Sector C,21818.18182,2,240,2
Vasant Kunj,18235.29412,2,310,3
Vasant Kunj,15000,2,165,2
other,5000,2,50,2
other,17777.77778,2,240,3
other,14358.10811,2,170,2
other,20000,2,400,4
Vasant Kunj,6428.571429,4,225,4
Vasant Kunj,22222.22222,3,200,3
"The Leela Sky Villas, Patel Nagar",28796.92833,4,1350,5
"J R Designers Floors, Rohini Sector 24",6666.666667,2,50,2
"The Leela Sky Villas, Patel Nagar",23840.04102,4,930,4
"Uttam Nagar Floors, Uttam Nagar",4600,2,43.7,3
"Virat Residency, Dwarka Mor",4620,2,46.2,3
"Siddhartha Heights, Dwarka Sector 24",2235.294118,1,19,2
other,29166.66667,4,700,4
"MTNL Employees House Welfare Society, Dwarka Sector 24",3800,2,51.3,3
"Adarsh Homes, Dwarka Mor",5555.555556,2,30,2
"Delhi Homes Yojana, Dwarka Sector 24",4246.575342,4,58.9,4
"Kushwaha Homes, Uttam Nagar",6111.111111,2,33,2
"Godrej South Estate, Okhla",25512.29508,2,249,2
"The Elite Spire, Dwarka Sector 21",3523.809524,2,37,3
other,22222.22222,3,600,4
"Kunj Vihar Apartment, Dwarka Sector 12",11600,2,174,3
other,17586.2069,5,510,5
other,33830.84577,6,1700,5
"Partap Homes, Bhagwati Vihar, Uttam Nagar",5510,2,55.1,3
"The Amaryllis, Karol Bagh",22026.43172,3,250,3
"The Leela Sky Villas, Patel Nagar",24718.12663,3,570,3
other,3458.823529,2,29.4,2
"Ashirwad Apartments, Dwarka Sector 12",12916.66667,3,155,3
"Sunny Valley Apartments, Dwarka",10117.64706,2,172,3
other,30555.55556,3,550,4
Vasant Kunj,13636.36364,2,150,2
Greater Kailash 1,2312.92517,4,510,4
Rohini Sector 24,8387.096774,3,130,4
Greater Kailash 1,18750,3,300,3
other,3428.571429,2,24,2
"Batla House, Okhla",122222.2222,3,55,4
"Gandhi Nagar, Shahdara",6444.444444,2,29,2
"Gandhi Nagar, Shahdara",31481.48148,2,170,5
"Gandhi Nagar, Shahdara",18518.51852,3,250,3
"Gandhi Nagar, Shahdara",4444.444444,2,100,3
other,6000,1,75,2
other,7142.857143,1,36,3
other,538461.5385,2,350,3
other,13333.33333,1,60,2
other,9722.222222,2,175,4
other,19444.44444,3,350,4
other,6666.666667,2,102,5
Vasant Kunj Sector C,16571.42857,4,290,4
"Sukhdev Vihar, Okhla",18552.0362,3,410,4
Geeta Colony,7894.736842,2,60,3
other,6250,1,25,2
Geeta Colony,5789.473684,1,22,1
other,23778.7773,2,215,2
other,16666.66667,1,150,4
Geeta Colony,35679.01235,6,289,5
Geeta Colony,55000,2,55,3
other,39000,1,19.5,2
Geeta Colony,65517.24138,1,38,2
other,6888.888889,1,62,2
Shahdara,8484.848485,3,140,4
Laxmi Nagar,7500,2,75,2
other,3133.802817,2,26.7,2
Shahdara,3571.428571,2,25,2
Laxmi Nagar,4040.40404,2,40,3
Laxmi Nagar,7777.777778,1,35,2
